parameter_set,reward_type,method,train_setting,seed,mean_return,std_error,return_std,turnover,avg_abs_position,num_eval_paths,T_eval,relative_to_analytic_pct,regret,policy_mse_to_analytic
baseline,R1,Analytic,none,-1,607.5695754642747,245.21011319547205,1899.3893694553976,2.561465860671378,5.1703566364638345,60,80,100.0,0.0,0.0
baseline,R1,PPO,oracle,0,-185.6371320055432,88.38299087540595,684.6117034968987,0.107871720038432,1.9856719689683329,60,80,-30.554053313760562,793.206707469818,65.79519783564923
baseline,R1,TD3,oracle,0,484.7089159509339,233.09004037013506,1805.5076890406951,0.1261706018447876,9.990204395055772,60,80,79.7783390619162,122.86065951334086,160.30859007484702
baseline,R1,SAC,oracle,0,482.60579698919685,232.02305559338203,1797.2428604986526,0.13419813434282937,9.627385061581927,60,80,79.43218628424789,124.9637784750779,150.99788263414237
baseline,R1,PPO,sequential,0,-175.60332580532943,84.20019659184702,652.211918295228,0.10240262933997049,1.8166254545286942,60,80,-28.902587110478997,783.1729012696042,64.55372024121922
baseline,R1,TD3,sequential,0,484.6623507512198,233.09093182095665,1805.514594189067,0.12519143939018249,9.999149985909463,60,80,79.7706748862243,122.90722471305497,160.83663835588646
baseline,R1,SAC,sequential,0,-512.0104725283772,231.65654106597208,1794.4038511770489,0.20571262526791545,7.693283423793618,60,80,-84.2719078118953,1119.580047992652,147.12526490872293
baseline,R2,PPO,oracle,0,-127.10645750260774,58.52237371765937,453.3123575780428,4.2320012471206905,2.4907049630511993,60,80,,,
baseline,R2,TD3,oracle,0,503.95978410000413,233.0778246896513,1805.4130667865427,0.1250550317764282,9.844996937712033,60,80,,,
baseline,R2,SAC,oracle,0,291.5860932568002,124.74124924521085,966.2415618236204,0.11235407613217832,5.530614332395296,60,80,,,
baseline,R2,PPO,sequential,0,-144.46082783656658,58.19529342216159,450.77880450337176,6.924392108925773,3.7120309262957503,60,80,,,
baseline,R2,TD3,sequential,0,503.32905076129333,233.09102516728626,1805.515317246627,0.125,9.999874436855315,60,80,,,
baseline,R2,SAC,sequential,0,-505.31522717365795,233.0908806987231,1805.5141981979489,0.12502737005551656,9.998822707732518,60,80,,,
